Curvature,Luas,Kepadatan,Bin Tertinggi,Posisi Bin Tertinggi,Label
5.315759,773.278320,0.020512,23.118599,30.000000,Flat
4.541805,870.344543,0.032573,21.394529,108.000000,Flat
5.418310,777.169189,0.020443,23.622545,30.000000,Flat
5.205876,778.689270,0.022146,23.448042,30.000000,Flat
5.688124,774.688843,0.017207,23.428991,30.000000,Flat
5.284997,775.388672,0.022463,22.636438,30.000000,Flat
5.315759,773.278320,0.020512,23.118599,30.000000,Flat
5.418310,777.169189,0.020443,23.622545,30.000000,Flat
5.205876,778.689270,0.022146,23.448042,30.000000,Flat
6.081652,696.570679,0.011893,21.859583,30.000000,Flat
6.502143,692.446777,0.010919,21.724325,30.000000,Flat
6.438617,699.134521,0.011119,22.274086,30.000000,Flat
4.818835,858.360840,0.022482,22.344786,90.000000,Flat
6.439068,699.599609,0.011549,21.341007,30.000000,Flat
6.569534,706.822632,0.010970,22.124878,30.000000,Flat
6.037668,680.759644,0.013221,20.048952,30.000000,Flat
6.681868,678.561279,0.011667,20.475073,90.000000,Flat
6.522613,672.799316,0.012007,20.109486,90.000000,Flat
6.746017,677.787292,0.011281,19.945721,138.000000,Flat
6.779074,676.488831,0.011515,20.304110,81.000000,Flat
4.556379,754.000610,0.023083,20.131962,87.000000,Flat
4.750964,737.107056,0.023038,20.117929,30.000000,Flat
4.894098,745.289673,0.022510,20.068378,87.000000,Flat
4.731373,881.661072,0.030638,20.412697,60.000000,Normal
4.315219,902.243408,0.030645,21.780111,93.000000,Normal
3.764734,839.283142,0.039498,20.302605,111.000000,Normal
3.811030,853.608582,0.032106,21.576878,90.000000,Normal
5.221910,873.561096,0.023529,21.771439,66.000000,Normal
4.644297,891.002136,0.028100,22.198624,87.000000,Normal
4.637855,839.724670,0.028903,21.505341,87.000000,Normal
3.893270,920.266479,0.042821,21.480217,93.000000,Normal
4.858112,865.803711,0.028444,20.956293,90.000000,Normal
4.824041,881.983032,0.026238,20.805038,108.000000,Normal
4.795116,861.438232,0.027277,21.506794,66.000000,Normal
4.586496,858.160583,0.026892,21.176962,63.000000,Normal
4.894842,842.532715,0.025499,22.121838,39.000000,Normal
4.756880,848.418762,0.026929,20.137260,108.000000,Normal
4.478428,831.323730,0.030038,20.719654,111.000000,Normal
4.378489,843.289368,0.029935,21.121689,87.000000,Normal
4.373201,896.080750,0.036885,21.506931,63.000000,Normal
5.533846,783.457764,0.017635,19.630188,27.000000,Normal
4.544343,889.979553,0.034200,22.018904,87.000000,Normal
4.418554,898.439331,0.032172,21.830475,87.000000,Normal
4.494750,841.461060,0.029000,19.659122,3.000000,Normal
4.777643,855.966064,0.022849,22.437569,114.000000,Normal
4.585539,824.717651,0.026549,20.764040,66.000000,Normal
4.411833,897.303589,0.032487,21.213989,66.000000,Normal
5.645029,728.129883,0.016370,20.128326,54.000000,Normal
5.807061,743.768799,0.017559,20.922575,54.000000,Normal
5.871634,734.726074,0.016995,20.453804,54.000000,Normal
5.958698,743.163940,0.017196,21.374380,54.000000,Normal
5.580347,763.879395,0.017536,20.763680,87.000000,Normal
5.659916,766.368347,0.017273,21.243116,87.000000,Normal
5.711824,761.007263,0.017175,20.574772,87.000000,Normal
6.102379,759.020142,0.013995,20.662514,87.000000,Normal
5.677831,785.168213,0.020297,21.866903,87.000000,Normal
4.961840,740.944397,0.018376,20.853592,87.000000,Normal
5.624787,866.005249,0.021715,21.588997,57.000000,Normal
5.262494,740.383789,0.016568,21.218464,87.000000,Normal
5.421737,757.307007,0.015965,20.964235,87.000000,Normal
3.986082,903.898926,0.034176,22.982180,63.000000,Normal
5.264999,885.158325,0.023295,21.315943,90.000000,Normal
5.011977,905.094971,0.026438,22.362097,27.000000,Normal
4.638799,860.270325,0.023827,21.811993,90.000000,Normal
