Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Bin 18,Bin 19,Bin 20,Bin 21,Bin 22,Bin 23,Bin 24,Bin 25,Bin 26,Bin 27,Bin 28,Bin 29,Bin 30,Bin 31,Bin 32,Bin 33,Bin 34,Bin 35,Bin 36,Bin 37,Bin 38,Bin 39,Bin 40,Bin 41,Bin 42,Bin 43,Bin 44,Bin 45,Bin 46,Bin 47,Bin 48,Bin 49,Bin 50,Bin 51,Bin 52,Bin 53,Bin 54,Bin 55,Bin 56,Bin 57,Bin 58,Bin 59,Bin 60,Label
0.004804,10.574879,19.067871,10.925335,10.529091,8.177046,9.046673,4.859242,3.576980,11.730744,22.746101,13.249254,18.186268,12.928734,8.696881,10.205538,10.522608,9.007545,22.273045,14.758089,18.888670,18.821171,17.746561,15.060099,11.909026,11.126541,18.251272,18.484596,19.699236,20.184793,18.149761,17.585386,19.009422,16.219479,13.062200,18.533791,17.180546,16.913843,17.893623,14.854670,16.074022,15.290288,11.715170,13.555630,15.259867,9.763324,13.180519,14.427434,11.465961,10.756891,14.606528,8.100269,13.276541,14.321424,11.464947,10.279659,10.358096,10.444095,7.154875,6.767896,Flat
0.000000,10.104383,19.493702,9.917707,10.669929,8.025386,8.963899,4.781130,3.299816,10.943869,22.246832,13.234079,18.419159,12.363252,8.733639,10.264114,10.093608,8.520805,21.403471,14.454813,18.592272,18.767168,18.357666,15.631375,12.146989,11.057423,17.925247,18.121243,19.623865,20.267023,18.304020,17.750612,18.598713,16.401154,13.010790,18.416664,17.742031,17.151440,19.745956,16.899792,15.940577,15.235837,11.488155,13.880894,15.885327,9.760821,12.806191,13.404663,10.642656,10.557591,14.657589,8.223234,13.559225,14.028118,10.791338,10.105200,9.854851,10.175806,7.577253,6.108405,Flat
0.198783,19.631273,18.661354,8.507334,10.502207,8.051762,8.134800,1.999999,0.000000,13.928695,20.840958,14.064120,18.403666,14.244184,8.512323,10.562604,8.825549,8.360905,21.041340,12.939280,16.296570,19.317787,17.305521,11.392817,10.343287,10.662697,14.919271,17.055882,14.916876,21.663832,17.445541,15.273221,15.786222,13.212828,7.687093,15.896021,17.311062,15.871288,18.978514,15.374767,14.091680,15.438987,12.186558,8.457684,12.110160,12.785709,12.949732,12.521723,10.282081,9.817045,13.166064,6.708972,9.145457,12.621139,13.088338,11.105635,10.871844,10.712425,9.466946,12.559662,Flat
9.321470,20.426567,12.600253,10.531385,11.129592,9.585185,9.119316,9.097153,8.816685,20.456219,12.842911,19.988611,20.008524,17.070210,8.161523,7.415677,10.536633,17.687710,16.754248,19.656143,19.983288,19.301130,20.669989,20.338930,20.668163,14.788847,18.913134,15.438028,19.990187,19.342279,20.292521,21.378923,20.236084,18.511032,17.598717,14.055693,19.573719,17.596193,19.839592,18.473602,19.301929,17.238691,15.626059,13.252604,15.401651,18.220066,13.871880,12.814131,11.421020,12.307099,13.210109,11.240187,13.844234,10.138946,14.267986,12.232233,10.318685,11.196738,6.378830,4.271984,Flat
0.227220,19.591747,19.203314,7.319792,10.468801,7.803005,8.332603,3.074721,3.299816,13.815362,21.815630,13.194737,17.103436,13.613267,8.362235,10.196289,8.721063,9.258271,20.107193,13.139212,16.849964,19.764854,17.231953,11.678555,10.233789,10.607861,15.415448,16.767073,16.579910,21.068106,18.202881,15.625632,16.109188,13.325461,7.787256,16.441841,17.484989,16.301043,19.379223,17.060854,14.725476,14.968842,10.598969,8.271544,11.839798,12.039530,13.119515,12.191423,9.079294,10.132600,12.880989,6.313907,9.007514,11.887666,11.988602,11.546121,10.113352,10.482456,9.919906,12.834567,Flat
0.000905,14.766819,15.575240,9.273079,10.688033,7.746262,11.088268,10.960648,3.202932,14.336765,19.491747,12.167580,15.336179,10.157291,8.196920,8.734716,11.204908,11.091464,19.702087,14.368317,18.328903,18.447580,17.704840,17.015131,13.468204,10.904547,19.288490,14.754089,16.789032,20.696058,17.273825,17.358763,18.612537,10.954320,14.605942,18.386379,15.329792,18.774750,13.966344,13.101128,9.056495,11.317298,9.848197,15.606112,15.661781,12.870099,14.350397,15.913010,11.926337,11.021354,11.003617,7.810040,11.388016,11.357742,14.587001,8.914442,6.559332,5.152740,3.703266,3.557361,Flat
2.272394,15.217564,14.027691,11.516254,8.184036,0.217908,0.000000,0.000000,3.452404,18.738825,19.379869,10.027211,11.159023,8.570250,9.459324,7.337221,5.462154,12.480553,18.396488,11.693251,16.522017,16.980721,9.091135,8.872252,10.366577,9.190011,16.782948,13.490840,15.887250,20.028872,17.849384,18.228481,14.280479,9.255798,14.663754,16.572077,14.368000,19.551191,20.231653,18.626209,17.227024,14.350945,9.192346,15.322834,15.393957,13.972811,15.754162,13.054844,11.118539,13.603451,14.875694,10.654801,12.247478,9.921648,14.410659,13.936853,12.481561,10.796370,13.224783,10.065045,Flat
2.299906,14.074664,13.885028,10.999550,8.057578,1.615440,0.000000,0.000000,3.460206,18.566763,18.857151,9.964987,11.197817,8.467337,9.452644,8.370602,5.995911,12.441436,19.615097,11.631991,17.778036,15.996963,8.903375,9.674047,10.894126,9.281947,18.521338,13.340619,16.282347,19.050915,16.578173,17.492807,14.560223,9.092762,14.777767,17.195518,13.724248,17.505159,18.985256,16.767767,16.578094,13.299421,8.589527,16.382847,14.582886,12.869369,15.646356,14.899780,10.403759,12.173477,15.096566,10.617694,12.101652,10.837829,14.952858,14.891488,13.197622,10.371245,12.997540,10.172981,Flat
2.343187,15.537284,14.235140,11.806629,8.444170,0.292789,0.000000,0.000000,3.522472,19.362282,20.429794,10.606407,10.856980,8.498975,9.109761,7.546458,5.909022,12.470304,21.130161,11.870617,17.409101,16.534332,8.978115,8.091361,10.670998,9.341648,19.112221,13.010946,16.057758,20.209114,17.393906,18.187588,14.488350,9.119852,15.153502,18.171068,14.131883,19.242786,19.370157,17.503250,17.072798,13.655539,8.132956,16.324352,15.905804,12.615301,15.539558,13.696207,11.586971,12.075807,14.123549,10.469982,13.195464,11.220148,16.509783,13.276955,13.460667,10.874011,13.171464,10.319052,Flat
2.283424,15.698958,14.291847,11.913369,8.420280,2.806704,0.000000,0.000000,3.548165,19.560135,19.832542,10.960010,10.780571,8.789224,9.024544,7.381728,6.256187,13.059720,20.019678,11.862710,17.591412,17.093418,8.979578,8.103195,10.362635,9.514936,17.748703,13.160841,17.077278,20.817043,17.333761,18.033092,14.094138,9.184586,15.349036,17.098280,13.820566,19.238211,19.707134,17.893955,17.256918,14.847866,8.992431,16.554504,14.535914,12.205048,15.160087,14.748293,11.310720,12.397076,14.298251,10.571856,13.354657,11.637951,16.143837,13.888508,12.795919,11.012636,12.896667,10.086496,Flat
